id;answer;explanation;date_created;last_modified_date
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-02-16T04:24:12;2022-02-16T02:11:10
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-02-15T13:56:46;2022-02-15T22:32:25
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-02-15T11:51:00;2022-02-15T23:30:15
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-02-15T19:29:08;2022-02-15T22:15:51
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-02-15T19:47:30;2022-02-15T09:36:33
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-02-15T13:19:16;2022-02-15T18:57:53
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-02-15T09:35:43;2022-02-15T11:25:12
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-02-15T23:08:42;2022-02-15T11:34:26
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-02-15T17:50:49;2022-02-16T01:01:56
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-02-15T10:29:07;2022-02-15T17:32:33
